technology,capital_cost_cr_per_mw,fixed_om_lakh_per_mw_yr,variable_om_rs_per_kwh,fuel_cost_rs_per_kwh,capacity_credit_pct,emission_factor_kg_co2_per_kwh,min_capacity_mw,max_capacity_mw,is_renewable,is_storage,storage_duration_hrs,round_trip_efficiency
coal_existing,0,25,0.50,2.00,85,0.95,0,0,0,0,0,0
coal_new,8.0,30,0.45,1.80,85,0.90,0,50000,0,0,0,0
gas_ccgt,5.0,20,0.30,4.50,80,0.40,0,30000,0,0,0,0
solar,4.0,6,0,0,5,0,0,300000,1,0,0,0
wind,6.5,10,0,0,15,0,0,150000,1,0,0,0
hydro_large,12.0,15,0.10,0,90,0,0,80000,1,0,0,0
nuclear,20.0,40,0.20,0.80,90,0,0,25000,1,0,0,0
bess_4hr,6.0,15,0,0,95,0,0,100000,0,1,4,0.85
psh_8hr,8.0,10,0.05,0,95,0,0,50000,0,1,8,0.80
